,title,genres,original_language,production_companies,budget,revenue,runtime (minutes),status,release_year,synopsis,fem,rotten_score,audience_score
11,The Lost City,Action-Adventure-Comedy,en,Paramount-Fortis Films-Exhibit A Film-3dot Productions,74000000,190844029,112,Released,2022,Reclusive author Loretta Sage writes about exotic places in her popular adventure novels that feature a handsome cover model named Alan. While on tour promoting her new book with Alan Loretta gets kidnapped by an eccentric billionaire who hopes she can lead him to the ancient city's lost treasure that featured in her latest story. Alan determined to prove he can be a hero in real life and not just on the pages of her books sets off to rescue her.,1,79,83
12,Father Stu,Drama,en,Palm Drive Productions-Municipal Pictures,4000000,21591034,124,Released,2022,The true-life story of boxer-turned-priest. When an injury ends his amateur boxing career Stuart Long moves to Los Angeles to find money and fame. While scraping by as a supermarket clerk he meets Carmen a Sunday school teacher who seems immune to his bad-boy charm. Determined to win her over the longtime agnostic starts going to church to impress her. However a motorcycle accident leaves him wondering if he can use his second chance to help others leading to the surprising realization that he's meant to be a Catholic priest.,1,41,95
78,Three Thousand Years of Longing,Fantasy-Drama-Romance,en,Metro-Goldwyn-Mayer-Kennedy Miller Productions-FilmNation Entertainment-CAA Media Finance-Elevate Production Finance-Sunac Pictures,60000000,19145392,108,Released,2022,A solitary scholar discovers an ancient bottle while on a trip to Istanbul and unleashes a djinn who offers her three wishes. Filled with reluctance she is unable to come up with one so the djinn tries to inspire her with his stories.,1,71,73
63,Till,Drama-History,en,Metro-Goldwyn-Mayer-Orion Pictures-Eon Productions-Frederick Zollo Productions-Whoop/One Ho Productions/Lil' Whoop Productions,0,8900000,131,Released,2022,The true story of Mamie Till Mobley’s relentless pursuit of justice for her 14 year old son Emmett Till who in 1955 was lynched while visiting his cousins in Mississippi.,1,96,97
85,Empire of Light,Drama-Romance,en,Neal Street Productions-Searchlight Pictures,0,5251349,115,Released,2022,The duty manager of a seaside cinema who is struggling with her mental health forms a relationship with a new employee on the south coast of England in the 1980s.,1,45,74
371,Honk for Jesus. Save Your Soul.,Comedy,en,Focus Features-Monkeypaw Productions-Pinky Promise-Ejime Productions-59%-Indian Meadows Productions-Rh Negative Entertainment,0,2144225,98,Released,2022,In the aftermath of a huge scandal Trinitie Childs the first lady of a prominent Southern Baptist Mega Church attempts to help her pastor-husband Lee-Curtis Childs rebuild their congregation.,1,,
346,Emily,Drama-History-Romance,en,Ingenious Media-Tempo Productions-Arenamedia-Embankment Films,0,1859871,130,Released,2022,The imagined life of one of the world’s most famous authors Emily Brontë as she finds her voice and writes the literary classic Wuthering Heights. Explore the relationships that inspired her – her raw passionate sisterhood with Charlotte and Anne; her first aching forbidden love for Weightman and her care for her maverick brother whom she idolises.,1,,
97,The Twin,Horror-Mystery,en,Don Films,2620000,492000,109,Released,2022,Every parent's worst nightmare is just the beginning for Rachel's ordeal as in the aftermath of a tragic accident she and her husband Anthony decide to move to the other side of the world to focus on their surviving twin son Elliot.  What begins as a time of healing and isolation in the Finnish countryside turns into a desperate battle for the very soul of their son as an entity claiming to be his dead twin brother takes over Elliot — setting Rachel on a diabolical journey to unravel the horrible truth about her twin son.,1,,50
298,Mercy Black,Horror-Mystery-Thriller,en,Blumhouse Productions-Divide / Conquer,0,200046,87,Released,2022,A woman is sent to a mental institution after stabbing her classmate in an attempt to conjure an evil spirit called Mercy Black. Fifteen years later she's released and must save her nephew who has become obsessed with the phenomenon.,1,45,22
26,The Jack in the Box: Awakening,Horror,en,Fowler Media,0,195189,89,Released,2022,When a vintage Jack-in-the-box is opened by a dying woman she enters into a deal with the demon within that would see her illness cured in return for helping it claim six innocent victims.,1,,
